scenario,period,year_min,year_max,gcm,crop,crop_label,mode,mode_label,hazard,hazard_label,n_years,loss_pct,loss_million_tonnes,prod_nws_million_tonnes,expected_years
ssp126,future_2070_2100,2070,2100,CanESM5,maiz,Maize,Irr,Irrigated,total,Total water stress,31,7.543740035059644,9.297927208930062,123.43623379804939,31
ssp126,future_2070_2100,2070,2100,CanESM5,maiz,Maize,Irr,Irrigated,wet,Waterlogging stress,31,0.0,0.0,123.43623379804939,31
ssp126,future_2070_2100,2070,2100,CanESM5,maiz,Maize,nonIrr,Rainfed,dry,Drought stress,31,2.3043984778493516,9.344204211168291,406.46694470441406,31
ssp126,future_2070_2100,2070,2100,CanESM5,maiz,Maize,nonIrr,Rainfed,total,Total water stress,31,3.90729956824563,15.855759359172962,406.46694470441406,31
ssp126,future_2070_2100,2070,2100,CanESM5,maiz,Maize,nonIrr,Rainfed,wet,Waterlogging stress,31,2.0949748332396148,8.50732246429804,406.46694470441406,31
ssp126,future_2070_2100,2070,2100,CanESM5,maiz,Maize,total,Total,dry,Drought stress,31,1.7685511120416728,9.344204211168291,529.9031785024634,31
ssp126,future_2070_2100,2070,2100,CanESM5,maiz,Maize,total,Total,total,Total water stress,31,4.754200799137447,25.153686568103026,529.9031785024634,31
ssp126,future_2070_2100,2070,2100,CanESM5,maiz,Maize,total,Total,wet,Waterlogging stress,31,1.607748943188599,8.50732246429804,529.9031785024634,31
ssp126,future_2070_2100,2070,2100,CanESM5,rice,Rice,Irr,Irrigated,dry,Drought stress,31,0.0,0.0,84.55221237835826,31
ssp126,future_2070_2100,2070,2100,CanESM5,rice,Rice,Irr,Irrigated,total,Total water stress,31,3.7417379353863347,3.1706660588225084,84.55221237835826,31
ssp126,future_2070_2100,2070,2100,CanESM5,rice,Rice,Irr,Irrigated,wet,Waterlogging stress,31,0.0,0.0,84.55221237835826,31
ssp126,future_2070_2100,2070,2100,CanESM5,rice,Rice,nonIrr,Rainfed,dry,Drought stress,31,2.5714304485011312,3.2090693992109816,123.78270405314078,31
ssp126,future_2070_2100,2070,2100,CanESM5,rice,Rice,nonIrr,Rainfed,total,Total water stress,31,10.188441179497142,12.734035754947179,123.78270405314078,31
ssp126,future_2070_2100,2070,2100,CanESM5,rice,Rice,nonIrr,Rainfed,wet,Waterlogging stress,31,9.86893877809507,12.345194691844545,123.78270405314078,31
ssp126,future_2070_2100,2070,2100,CanESM5,rice,Rice,total,Total,dry,Drought stress,31,1.5212117197197532,3.2090693992109816,208.33491643149898,31
