scenario,period,year_min,year_max,crop,crop_label,mode,mode_label,hazard,hazard_label,metric,n,n_samples,mean,sd,ci95_low,ci95_high,mean_sd_ci
ssp126,future_2070_2100,2070,2100,all4,All four crops,nonIrr,Rainfed,dry,Drought stress,loss_million_tonnes,10,10,30.830769421706417,4.613655544017849,27.97119608942873,33.690342753984105,30.831 ? 4.614 (27.971-33.690)
ssp126,future_2070_2100,2070,2100,all4,All four crops,nonIrr,Rainfed,total,Total water stress,loss_pct,10,10,4.562893127779407,0.3877680032717158,4.322552029340854,4.803234226217959,4.563 ? 0.388 (4.323-4.803)
ssp126,future_2070_2100,2070,2100,all4,All four crops,nonIrr,Rainfed,total,Total water stress,loss_million_tonnes,10,10,47.73985025431905,4.031854802068024,45.24088075787308,50.23881975076503,47.740 ? 4.032 (45.241-50.239)
ssp126,future_2070_2100,2070,2100,all4,All four crops,nonIrr,Rainfed,wet,Waterlogging stress,loss_pct,10,10,2.2555591075924517,0.0756237366264866,2.208687030021621,2.302431185163281,2.256 ? 0.076 (2.209-2.302)
ssp126,future_2070_2100,2070,2100,all4,All four crops,nonIrr,Rainfed,wet,Waterlogging stress,loss_million_tonnes,10,10,23.664742906716555,0.8230120882693756,23.15463472952313,24.174851083909974,23.665 ? 0.823 (23.155-24.175)
ssp126,future_2070_2100,2070,2100,all4,All four crops,total,Total,dry,Drought stress,loss_pct,10,10,2.408600463710151,0.361315981713514,2.1846544980921987,2.632546429328104,2.409 ? 0.361 (2.185-2.633)
ssp126,future_2070_2100,2070,2100,all4,All four crops,total,Total,dry,Drought stress,loss_million_tonnes,10,10,30.830769421706417,4.613655544017849,27.97119608942873,33.690342753984105,30.831 ? 4.614 (27.971-33.690)
ssp126,future_2070_2100,2070,2100,all4,All four crops,total,Total,total,Total water stress,loss_pct,10,10,4.847560552119462,0.3712210038827607,4.6174753901569705,5.077645714081953,4.848 ? 0.371 (4.617-5.078)
ssp126,future_2070_2100,2070,2100,all4,All four crops,total,Total,total,Total water stress,loss_million_tonnes,10,10,62.12040118267239,4.7242291961096505,59.19229359079132,65.04850877455345,62.120 ? 4.724 (59.192-65.049)
ssp126,future_2070_2100,2070,2100,all4,All four crops,total,Total,wet,Waterlogging stress,loss_pct,10,10,1.840797023944767,0.0616751468304418,1.802570371898903,1.8790236759906311,1.841 ? 0.062 (1.803-1.879)
