scenario,period,year_min,year_max,crop,crop_label,mode,mode_label,hazard,hazard_label,metric,n_samples,mean,sd,ci95_low,ci95_high,mean_sd_ci
ssp126,future_2070_2100,2070,2100,all4,All four crops,nonIrr,Rainfed,total,Total water stress,loss_pct,10,4.5628931277794065,0.38776800327171584,4.322552029340854,4.803234226217959,4.563 ± 0.388 (4.323-4.803)
ssp126,future_2070_2100,2070,2100,all4,All four crops,nonIrr,Rainfed,total,Total water stress,loss_million_tonnes,10,47.73985025431905,4.031854802068024,45.24088075787308,50.238819750765025,47.740 ± 4.032 (45.241-50.239)
ssp126,future_2070_2100,2070,2100,all4,All four crops,nonIrr,Rainfed,wet,Waterlogging stress,loss_pct,10,2.2555591075924513,0.07562373662648669,2.2086870300216215,2.302431185163281,2.256 ± 0.076 (2.209-2.302)
ssp126,future_2070_2100,2070,2100,all4,All four crops,nonIrr,Rainfed,wet,Waterlogging stress,loss_million_tonnes,10,23.664742906716555,0.8230120882693756,23.15463472952313,24.174851083909978,23.665 ± 0.823 (23.155-24.175)
ssp126,future_2070_2100,2070,2100,all4,All four crops,total,Total,dry,Drought stress,loss_pct,10,2.408600463710151,0.361315981713514,2.1846544980921987,2.6325464293281033,2.409 ± 0.361 (2.185-2.633)
ssp126,future_2070_2100,2070,2100,all4,All four crops,total,Total,dry,Drought stress,loss_million_tonnes,10,30.830769421706417,4.613655544017849,27.97119608942873,33.690342753984105,30.831 ± 4.614 (27.971-33.690)
ssp126,future_2070_2100,2070,2100,all4,All four crops,total,Total,total,Total water stress,loss_pct,10,4.847560552119462,0.3712210038827607,4.6174753901569705,5.077645714081953,4.848 ± 0.371 (4.617-5.078)
ssp126,future_2070_2100,2070,2100,all4,All four crops,total,Total,total,Total water stress,loss_million_tonnes,10,62.12040118267239,4.7242291961096505,59.19229359079132,65.04850877455345,62.120 ± 4.724 (59.192-65.049)
ssp126,future_2070_2100,2070,2100,all4,All four crops,total,Total,wet,Waterlogging stress,loss_pct,10,1.840797023944767,0.061675146830441896,1.802570371898903,1.8790236759906311,1.841 ± 0.062 (1.803-1.879)
ssp126,future_2070_2100,2070,2100,all4,All four crops,total,Total,wet,Waterlogging stress,loss_million_tonnes,10,23.664742906716555,0.8230120882693756,23.15463472952313,24.174851083909978,23.665 ± 0.823 (23.155-24.175)
ssp126,future_2070_2100,2070,2100,maiz,Maize,Irr,Irrigated,dry,Drought stress,loss_pct,10,0.0,0.0,0.0,0.0,0.000 ± 0.000 (0.000-0.000)
ssp126,future_2070_2100,2070,2100,maiz,Maize,Irr,Irrigated,dry,Drought stress,loss_million_tonnes,10,0.0,0.0,0.0,0.0,0.000 ± 0.000 (0.000-0.000)
ssp126,future_2070_2100,2070,2100,maiz,Maize,Irr,Irrigated,total,Total water stress,loss_pct,10,7.811673011890233,0.5231239126529122,7.487437451643726,8.13590857213674,7.812 ± 0.523 (7.487-8.136)
ssp126,future_2070_2100,2070,2100,maiz,Maize,Irr,Irrigated,total,Total water stress,loss_million_tonnes,10,9.670865491289517,0.648409275687748,9.268977258527466,10.072753724051568,9.671 ± 0.648 (9.269-10.073)
ssp126,future_2070_2100,2070,2100,maiz,Maize,Irr,Irrigated,wet,Waterlogging stress,loss_pct,10,0.0,0.0,0.0,0.0,0.000 ± 0.000 (0.000-0.000)
ssp126,future_2070_2100,2070,2100,maiz,Maize,Irr,Irrigated,wet,Waterlogging stress,loss_million_tonnes,10,0.0,0.0,0.0,0.0,0.000 ± 0.000 (0.000-0.000)
ssp126,future_2070_2100,2070,2100,maiz,Maize,nonIrr,Rainfed,dry,Drought stress,loss_pct,10,2.589698725413901,0.43762447943263527,2.3184562629027834,2.860941187925018,2.590 ± 0.438 (2.318-2.861)
ssp126,future_2070_2100,2070,2100,maiz,Maize,nonIrr,Rainfed,dry,Drought stress,loss_million_tonnes,10,10.509209980459136,1.775396821431477,9.40880763001518,11.609612330903092,10.509 ± 1.775 (9.409-11.610)
ssp126,future_2070_2100,2070,2100,maiz,Maize,nonIrr,Rainfed,total,Total water stress,loss_pct,10,4.131904933617608,0.36098219073959,3.908165853788696,4.355644013446519,4.132 ± 0.361 (3.908-4.356)
ssp126,future_2070_2100,2070,2100,maiz,Maize,nonIrr,Rainfed,total,Total water stress,loss_million_tonnes,10,16.766355767005958,1.4692267664981848,15.855719582647906,17.67699195136401,16.766 ± 1.469 (15.856-17.677)
ssp126,future_2070_2100,2070,2100,maiz,Maize,nonIrr,Rainfed,wet,Waterlogging stress,loss_pct,10,2.0359803796993408,0.11952148198609011,1.9619001976699542,2.1100605617287274,2.036 ± 0.120 (1.962-2.110)
ssp126,future_2070_2100,2070,2100,maiz,Maize,nonIrr,Rainfed,wet,Waterlogging stress,loss_million_tonnes,10,8.259501071362228,0.49733141346503235,7.9512518677361435,8.567750274988313,8.260 ± 0.497 (7.951-8.568)
ssp126,future_2070_2100,2070,2100,maiz,Maize,total,Total,dry,Drought stress,loss_pct,10,1.9843237809707772,0.3350607787217955,1.7766509587620685,2.191996603179486,1.984 ± 0.335 (1.777-2.192)
ssp126,future_2070_2100,2070,2100,maiz,Maize,total,Total,dry,Drought stress,loss_million_tonnes,10,10.509209980459136,1.775396821431477,9.40880763001518,11.609612330903092,10.509 ± 1.775 (9.409-11.610)
ssp126,future_2070_2100,2070,2100,maiz,Maize,total,Total,total,Total water stress,loss_pct,10,4.991881914680198,0.39054063937378186,4.749822318581399,5.233941510778997,4.992 ± 0.391 (4.750-5.234)
ssp126,future_2070_2100,2070,2100,maiz,Maize,total,Total,total,Total water stress,loss_million_tonnes,10,26.437221258295473,2.0688055832206445,25.154962273201622,27.719480243389324,26.437 ± 2.069 (25.155-27.719)
ssp126,future_2070_2100,2070,2100,maiz,Maize,total,Total,wet,Waterlogging stress,loss_pct,10,1.560571201941341,0.09206735065428699,1.5035072668051725,1.6176351370775093,1.561 ± 0.092 (1.504-1.618)
ssp126,future_2070_2100,2070,2100,maiz,Maize,total,Total,wet,Waterlogging stress,loss_million_tonnes,10,8.259501071362228,0.49733141346503235,7.9512518677361435,8.567750274988313,8.260 ± 0.497 (7.951-8.568)
ssp126,future_2070_2100,2070,2100,rice,Rice,Irr,Irrigated,dry,Drought stress,loss_pct,10,0.0,0.0,0.0,0.0,0.000 ± 0.000 (0.000-0.000)
