crop,hazard,year,value,q25,q75,scenario,n_gcm,value_smooth,q25_smooth,q75_smooth
soyb,dry,1998,0.355567855093078,0.355567855093078,0.355567855093078,historical,1,0.4085040733213437,0.4085040733213437,0.4085040733213437
soyb,dry,1999,0.5752391935350021,0.5752391935350021,0.5752391935350021,historical,1,0.5002267431870855,0.5002267431870855,0.5002267431870855
soyb,dry,2000,0.4601546826120946,0.4601546826120946,0.4601546826120946,historical,1,0.7373109933213093,0.7373109933213093,0.7373109933213093
soyb,dry,2001,0.700266449975363,0.700266449975363,0.700266449975363,historical,1,0.850581720704701,0.850581720704701,0.850581720704701
soyb,dry,2002,1.5953267853910085,1.5953267853910085,1.5953267853910085,historical,1,0.7941535475213127,0.7941535475213127,0.7941535475213127
soyb,dry,2003,0.9219214920100368,0.9219214920100368,0.9219214920100368,historical,1,0.9291689995019441,0.9291689995019441,0.9291689995019441
soyb,dry,2004,0.2930983276180607,0.2930983276180607,0.2930983276180607,historical,1,1.17483691988005,1.17483691988005,1.17483691988005
soyb,dry,2005,1.1352319425152513,1.1352319425152513,1.1352319425152513,historical,1,1.1957468866646281,1.1957468866646281,1.1957468866646281
soyb,dry,2006,1.928606051865892,1.928606051865892,1.928606051865892,historical,1,1.1290992860283338,1.1290992860283338,1.1290992860283338
soyb,dry,2007,1.6998766193139003,1.6998766193139003,1.6998766193139003,historical,1,1.2479956455492052,1.2479956455492052,1.2479956455492052
soyb,dry,2008,0.5886834888285645,0.5886834888285645,0.5886834888285645,historical,1,1.1075535721127037,1.1075535721127037,1.1075535721127037
soyb,dry,2009,0.8875801252224168,0.8875801252224168,0.8875801252224168,historical,1,0.847049661397859,0.847049661397859,0.847049661397859
soyb,dry,2010,0.4330215753327457,0.4330215753327457,0.4330215753327457,historical,1,1.4324528044249143,1.4324528044249143,1.4324528044249143
soyb,dry,2011,0.6260864982916672,0.6260864982916672,0.6260864982916672,historical,1,1.580814219506004,1.580814219506004,1.580814219506004
soyb,dry,2012,4.6268923344491775,4.6268923344491775,4.6268923344491775,historical,1,1.4776115865461252,1.4776115865461252,1.4776115865461252
soyb,dry,2013,1.330490564234013,1.330490564234013,1.330490564234013,historical,1,1.4564998306833754,1.4564998306833754,1.4564998306833754
soyb,dry,2014,0.3715669604230224,0.3715669604230224,0.3715669604230224,historical,1,1.491406740649047,1.491406740649047,1.491406740649047
soyb,dry,2015,0.3274627960189972,0.3274627960189972,0.3274627960189972,historical,1,0.8080881941556036,0.8080881941556036,0.8080881941556036
soyb,dry,2016,0.8006210481200254,0.8006210481200254,0.8006210481200254,historical,1,0.7037248007077047,0.7037248007077047,0.7037248007077047
soyb,dry,2017,1.2102996019819603,1.2102996019819603,1.2102996019819603,historical,1,0.745886796197771,0.745886796197771,0.745886796197771
soyb,dry,2018,0.8086735969945186,0.8086735969945186,0.8086735969945186,historical,1,0.8504927962424644,0.8504927962424644,0.8504927962424644
soyb,dry,2019,0.5823769378733535,0.5823769378733535,0.5823769378733535,historical,1,0.8671167122832775,0.8671167122832775,0.8671167122832775
